node_id,fma_id,canonical_name,side,region,segment,min_x,min_y,min_z,max_x,max_y,max_z,center_x,center_y,center_z
FJ2772,FMA52749,hyoid bone,midline,skull,skull,-0.019524,1.422370,0.094419,0.018283,1.440860,0.129000,-0.000621,1.431615,0.111709
FJ3152,FMA16586,right hip bone,right,pelvis,pelvis,-0.144872,0.752153,0.001119,-0.002790,0.957869,0.139019,-0.073831,0.855011,0.070069
FJ3153,FMA7488,xiphoid process,midline,rib_cage,rib_cage,-0.010338,1.164020,0.198509,0.010604,1.184500,0.213353,0.000133,1.174260,0.205931
FJ3154,FMA10037,tenth thoracic vertebra,midline,spine,spine_thoracic,-0.033657,1.099770,0.007822,0.032245,1.157130,0.084058,-0.000706,1.128450,0.045940
FJ3155,FMA10059,eleventh thoracic vertebra,midline,spine,spine_thoracic,-0.026761,1.075720,0.013009,0.025559,1.129270,0.092532,-0.000601,1.102495,0.052771
FJ3156,FMA10081,twelfth thoracic vertebra,midline,spine,spine_thoracic,-0.022386,1.049960,0.022561,0.021055,1.101590,0.101385,-0.000666,1.075775,0.061973
FJ3157,FMA13072,first lumbar vertebra,midline,spine,spine_lumbar,-0.035780,1.015200,0.029222,0.034461,1.071980,0.109480,-0.000659,1.043590,0.069351
FJ3158,FMA9165,first thoracic vertebra,midline,spine,spine_thoracic,-0.037383,1.347220,0.017087,0.035916,1.376900,0.086872,-0.000733,1.362060,0.051979
FJ3159,FMA13073,second lumbar vertebra,midline,spine,spine_lumbar,-0.040351,0.992316,0.034349,0.039061,1.039760,0.114720,-0.000645,1.016038,0.074534
FJ3160,FMA9187,second thoracic vertebra,midline,spine,spine_thoracic,-0.035922,1.326590,0.012120,0.034578,1.360360,0.082676,-0.000672,1.343475,0.047398
FJ3161,FMA12521,third cervical vertebra,midline,spine,spine_cervical,-0.029843,1.417000,0.038133,0.028539,1.445740,0.087813,-0.000652,1.431370,0.062973
FJ3162,FMA13074,third lumbar vertebra,midline,spine,spine_lumbar,-0.040203,0.967693,0.029514,0.038841,1.009730,0.115353,-0.000681,0.988711,0.072433
FJ3163,FMA9209,third thoracic vertebra,midline,spine,spine_thoracic,-0.032966,1.302230,0.001360,0.031841,1.341850,0.076736,-0.000563,1.322040,0.039048
FJ3164,FMA12522,fourth cervical vertebra,midline,spine,spine_cervical,-0.027753,1.404600,0.040694,0.026378,1.432140,0.089108,-0.000688,1.418370,0.064901
FJ3165,FMA13075,fourth lumbar vertebra,midline,spine,spine_lumbar,-0.042766,0.938664,0.026156,0.041415,0.983402,0.110405,-0.000675,0.961033,0.068281
FJ3166,FMA9248,fourth thoracic vertebra,midline,spine,spine_thoracic,-0.035462,1.277740,0.000198,0.034282,1.321410,0.069605,-0.000590,1.299575,0.034901
FJ3167,FMA12523,fifth cervical vertebra,midline,spine,spine_cervical,-0.029698,1.393770,0.036083,0.028333,1.417990,0.090773,-0.000682,1.405880,0.063428
FJ3168,FMA13076,fifth lumbar vertebra,midline,spine,spine_lumbar,-0.051001,0.904595,0.018245,0.049574,0.954833,0.099076,-0.000714,0.929714,0.058661
FJ3169,FMA9922,fifth thoracic vertebra,midline,spine,spine_thoracic,-0.036151,1.239770,-0.000019,0.034890,1.297270,0.066009,-0.000631,1.268520,0.032995
FJ3170,FMA12524,sixth cervical vertebra,midline,spine,spine_cervical,-0.031265,1.381590,0.029179,0.029948,1.404740,0.091671,-0.000659,1.393165,0.060425
FJ3171,FMA9945,sixth thoracic vertebra,midline,spine,spine_thoracic,-0.036423,1.209380,0.001192,0.035034,1.269080,0.065221,-0.000694,1.239230,0.033207
FJ3172,FMA12525,seventh cervical vertebra,midline,spine,spine_cervical,-0.033229,1.364710,0.021266,0.031932,1.391840,0.090032,-0.000649,1.378275,0.055649
FJ3173,FMA9968,seventh thoracic vertebra,midline,spine,spine_thoracic,-0.037226,1.179300,0.000671,0.036321,1.241800,0.066979,-0.000453,1.210550,0.033825
FJ3174,FMA9991,eighth thoracic vertebra,midline,spine,spine_thoracic,-0.033659,1.153750,0.000932,0.032153,1.213050,0.072028,-0.000753,1.183400,0.036480
FJ3175,FMA10014,ninth thoracic vertebra,midline,spine,spine_thoracic,-0.034395,1.126630,0.006156,0.032998,1.184840,0.077653,-0.000698,1.155735,0.041904
FJ3176,FMA12519,atlas,midline,spine,spine_cervical,-0.041365,1.462210,0.040596,0.040231,1.481430,0.087644,-0.000567,1.471820,0.064120
FJ3177,FMA12520,axis,midline,spine,spine_cervical,-0.025962,1.433170,0.036671,0.024574,1.478350,0.086539,-0.000694,1.455760,0.061605
FJ3178,FMA7487,body of sternum,midline,rib_cage,rib_cage,-0.023615,1.179650,0.165166,0.023956,1.289640,0.213832,0.000170,1.234645,0.189499
FJ3179,FMA32653,distal phalanx of left second toe,left,foot,foot_l,0.132153,-0.070227,0.220864,0.143397,-0.063023,0.234017,0.137775,-0.066625,0.227440
FJ3180,FMA32655,distal phalanx of left third toe,left,foot,foot_l,0.145842,-0.070261,0.212314,0.154841,-0.064368,0.223651,0.150342,-0.067315,0.217983
FJ3181,FMA32657,distal phalanx of left fourth toe,left,foot,foot_l,0.155212,-0.070309,0.195431,0.164075,-0.063455,0.206553,0.159643,-0.066882,0.200992
FJ3182,FMA32651,distal phalanx of left big toe,left,foot,foot_l,0.102504,-0.070006,0.210725,0.125056,-0.059041,0.235919,0.113780,-0.064524,0.223322
FJ3183,FMA23953,distal phalanx of left index finger,left,hand,hand_l,0.301261,0.661851,0.169614,0.311254,0.675567,0.186711,0.306258,0.668709,0.178163
FJ3184,FMA23959,distal phalanx of left little finger,left,hand,hand_l,0.218894,0.676628,0.168420,0.227155,0.689309,0.182284,0.223025,0.682968,0.175352
FJ3185,FMA32659,distal phalanx of left little toe,left,foot,foot_l,0.161261,-0.070480,0.176160,0.169358,-0.065129,0.186545,0.165309,-0.067804,0.181352
